term,doc_feq,posting_list
It,6,"{14: [], 20: [], 24: [], 58: [], 92: [], 99: []}"
Italian,1,{91: []}
Italy,2,"{11: [], 89: []}"
Italy.,1,{89: []}
Italys,2,"{89: [], 91: []}"
Its,2,"{50: [], 69: []}"
Ivory,1,{83: []}
JAN,1,{13: []}
JAPAN,1,{7: []}
James,1,{42: []}
January,3,"{1: [], 3: [], 72: []}"
Japan,3,"{7: [], 24: [], 51: []}"
Japanese,3,"{7: [], 24: [], 73: []}"
Jordan,1,{86: []}
Jorge,1,{69: []}
Jorio,1,{69: []}
July,1,{1: []}
June,4,"{44: [], 46: [], 82: [], 88: []}"
JuneJuly,1,{1: []}
KING,1,{43: []}
Kanon,1,{83: []}
Katz,1,{10: []}
Katz.,1,{10: []}
King,1,{43: []}
Kobena,1,{83: []}
Kokusai,1,{7: []}
Korea,1,{24: []}
Kouame,1,{83: []}
L.F.,1,{50: []}
L.P.,1,{43: []}
LANES,1,{65: []}
LARGE,1,{73: []}
LATEST,1,{48: []}
LAWRENCE,1,{74: []}
LEIGHPEMBERTON,1,{59: []}
LETTER,1,{23: []}
LEVEL,2,"{45: [], 51: []}"
LIMITED,1,{74: []}
LOANS,2,"{96: [], 98: []}"
LOGIC,1,{94: []}
LOMAK,1,{93: []}
LOSS,11,"{16: [], 17: [], 18: [], 25: [], 30: [], 39: [], 41: [], 52: [], 56: [], 87: [], 92: []}"
LOUISIANAPACIFIC,1,{54: []}
LTD,1,{41: []}
Lacombe,1,{84: []}
Lakeview,1,{54: []}
Lanes,1,{65: []}
Lawson,1,{26: []}
Lazier,1,{50: []}
Lazier.,1,{50: []}
Lehman,2,"{10: [], 50: []}"
LeighPemberton,1,{59: []}
Leonard,1,{62: []}
Lets,1,{47: []}
Limits,1,{27: []}
Lines.,1,{65: []}
Liquidating,1,{77: []}
Liquor,1,{1: []}
Loans,1,{62: []}
Logic,1,{94: []}
Lomak,1,{93: []}
Lomak.,1,{93: []}
London,1,{69: []}
Loss,1,{87: []}
LouisianaPacific,1,{54: []}
Louvre,1,{59: []}
Ltd,4,"{6: [], 32: [], 71: [], 87: []}"
Lucky,1,{71: []}
Lugano,1,{2: []}
Lynch,1,{43: []}
MADE,1,{73: []}
MAJOR,1,{69: []}
MAKE,1,{70: []}
MANAGING,1,{37: []}
MANUFACTURING,1,{42: []}
MARCH,2,"{96: [], 97: []}"
MARKET,2,"{48: [], 49: []}"
MARTIN,1,{74: []}
MCAs,1,{84: []}
MEET,1,{59: []}
MEETING,1,{69: []}
MERGER,4,"{38: [], 55: [], 65: [], 93: []}"
MICRO,1,{95: []}
MINISTER,1,{84: []}
MINISTERS,1,{26: []}
MINNESOTA,1,{14: []}
MINSTAR,1,{76: []}
MLN,4,"{49: [], 96: [], 97: [], 98: []}"
MLP,1,{43: []}
MOBIL,1,{20: []}
MONEY,2,"{48: [], 49: []}"
MONKEY,1,{57: []}
MOST,1,{11: []}
MTHS,1,{88: []}
MUTUAL,1,{48: []}
Maccia,1,{10: []}
Malibu.,1,{71: []}
Management,1,{85: []}
Managing,1,{47: []}
Manufacturing,1,{42: []}
Marathon,1,{72: []}
March,12,"{1: [], 4: [], 7: [], 16: [], 47: [], 59: [], 69: [], 77: [], 79: [], 92: [], 98: [], 99: []}"
MarchApril,1,{1: []}
Margaret,1,{7: []}
Margoshes,1,{50: []}
Maricorp,1,{65: []}
Marine,1,{62: []}
Mateo.,1,{33: []}
Matrix,1,{2: []}
May,7,"{1: [], 31: [], 46: [], 62: [], 73: [], 75: [], 78: []}"
May.,1,{43: []}
Me.,1,{86: []}
Measures,1,{27: []}
Meridian,1,{23: []}
Merrill,1,{43: []}
Micro,1,{95: []}
Midland,1,{62: []}
Minister,3,"{7: [], 26: [], 84: []}"
Ministers,1,{84: []}
Ministry,1,{89: []}
MinneapolisSt.,1,{14: []}
Minnesota.,2,"{12: [], 29: []}"
Minnesotabased,1,{14: []}
Mobil,1,{20: []}
Monday,1,{84: []}
Monday.,1,{11: []}
Monetary,1,{84: []}
Mr,1,{7: []}
Mr.,1,{72: []}
N,1,{19: []}
N.,1,{62: []}
N.V.,1,{2: []}
N.Y.,2,"{96: [], 99: []}"
N.Z.,1,{3: []}
NAMES,1,{10: []}
NATIONAL,2,"{4: [], 16: []}"
NEEDS,1,{62: []}
NET,13,"{5: [], 8: [], 15: [], 19: [], 21: [], 25: [], 64: [], 66: [], 71: [], 74: [], 76: [], 81: [], 88: []}"
NEW,1,{98: []}
NIL,1,{99: []}
NO,2,"{59: [], 69: []}"
NOT,2,"{37: [], 47: []}"
NOTE,12,"{13: [], 15: [], 16: [], 21: [], 25: [], 61: [], 64: [], 66: [], 68: [], 76: [], 81: [], 88: []}"
NOV,1,{57: []}
NURSERY,2,"{15: [], 21: []}"
NY,1,{73: []}
Nakasone,1,{7: []}
Nastro,1,{10: []}
National,5,"{4: [], 33: [], 55: [], 69: [], 98: []}"
Nationale,1,{84: []}
Nationals,1,{55: []}
Natural,1,{9: []}
Nazionali,1,{91: []}
Net,20,"{8: [], 13: [], 15: [], 16: [], 17: [], 19: [], 21: [], 25: [], 30: [], 41: [], 52: [], 56: [], 57: [], 61: [], 64: [], 66: [], 68: [], 74: [], 81: [], 88: []}"
New,8,"{1: [], 3: [], 10: [], 27: [], 31: [], 43: [], 98: [], 99: []}"
Nigel,1,{26: []}
Nine,3,"{15: [], 21: [], 61: []}"
No,2,"{50: [], 51: []}"
North,2,"{50: [], 85: []}"
Note,7,"{8: [], 30: [], 41: [], 52: [], 56: [], 74: [], 87: []}"
November,2,"{38: [], 87: []}"
Nowak,1,{50: []}
Nursery,2,"{15: [], 21: []}"
OF,2,"{12: [], 23: []}"
OFF,1,{22: []}
OFFER,2,"{37: [], 50: []}"
OIL,2,"{9: [], 50: []}"
OILSFATS,1,{11: []}
OLD,1,{44: []}
ON,1,{18: []}
OPEC,2,"{47: [], 50: []}"
Occidental,1,{50: []}
Ocean,1,{24: []}
OctDec,1,{1: []}
OctDec.,1,{1: []}
October,3,"{64: [], 69: [], 94: []}"
Ohio,1,{93: []}
Oil,3,"{47: [], 50: [], 72: []}"
Oils,2,"{47: [], 50: []}"
On,1,{89: []}
One,1,{50: []}
Oper,3,"{64: [], 68: [], 76: []}"
Operating,1,{22: []}
Oregon,1,{54: []}
Organization,1,{69: []}
Organizations,1,{83: []}
Ostrander,1,{54: []}
P,1,{64: []}
PACT,2,"{93: [], 95: []}"
PAK,1,{19: []}
PAPER,2,"{42: [], 97: []}"
PARIS,2,"{59: [], 91: []}"
PATRAN,1,{63: []}
PAY,2,"{19: [], 77: []}"
PAYOUT,3,"{40: [], 78: [], 80: []}"
PCT,3,"{9: [], 28: [], 89: []}"
PDA,1,{63: []}
PEPCO,1,{88: []}
PETROLEUM,1,{72: []}
PILLSBURY,1,{43: []}
PIRIE,1,{46: []}
PLAN,2,"{37: [], 47: []}"
PLASTICS,1,{81: []}
PRODUCTS,2,"{15: [], 21: []}"
PROPERTIES,1,{80: []}
PROPOSALS,1,{84: []}
PUBLIC,1,{26: []}
PUBLICATIONS,2,"{18: [], 39: []}"
PURCHASE,2,"{73: [], 91: []}"
Pacific,2,"{38: [], 65: []}"
Paper,1,{42: []}
Paris,4,"{26: [], 51: [], 59: [], 91: []}"
Paris.,1,{51: []}
Parliament,1,{7: []}
Paul,1,{14: []}
Pay,4,"{34: [], 44: [], 46: [], 60: []}"
Payable,1,{75: []}
Pehr,1,{22: []}
Period,1,{15: []}
Petroleum,4,"{47: [], 50: [], 72: [], 93: []}"
Pillsbury,1,{43: []}
Pima,1,{35: []}
Plaza,1,{59: []}
Plc,3,"{7: [], 47: [], 72: []}"
Plcs,1,{50: []}
Portland,1,{86: []}
Potomac,1,{88: []}
Power,1,{88: []}
Power.,1,{88: []}
Prescott,1,{50: []}
Prime,1,{7: []}
Prior,2,"{61: [], 87: []}"
Producers,1,{83: []}
Production,1,{9: []}
Products,2,"{15: [], 21: []}"
Properties,2,"{43: [], 80: []}"
Prudhoe,1,{50: []}
Publications,1,{39: []}
QSV,1,{43: []}
QTLY,2,"{28: [], 31: []}"
QTR,17,"{5: [], 15: [], 16: [], 17: [], 18: [], 19: [], 21: [], 25: [], 52: [], 56: [], 61: [], 64: [], 71: [], 76: [], 79: [], 81: [], 92: []}"
QUANTECH,2,"{61: [], 62: []}"
QUARTER,1,{36: []}
QUARTERLY,1,{53: []}
QUESTECH,1,{8: []}
Qtly,5,"{34: [], 44: [], 46: [], 60: [], 75: []}"
Qtr,1,{21: []}
Quantech,1,{62: []}
RAISES,2,"{31: [], 50: []}"
RECOGNIZE,1,{58: []}
RECORD,1,{36: []}
REFINERY,1,{20: []}
REFORM,1,{27: []}
REGULAR,1,{40: []}
REPORT,1,{24: []}
REPUBLIC,1,{44: []}
RESEARCH,1,{66: []}
RESOURCES,2,"{41: [], 87: []}"
RESULT,1,{22: []}
RESULTS,2,"{36: [], 94: []}"
REVIEW,1,{1: []}
REVISES,1,{94: []}
RISE,1,{9: []}
RISES,3,"{3: [], 89: [], 97: []}"
ROCKEFELLER,1,{80: []}
ROGERS,1,{5: []}
Raymond,1,{84: []}
Realty,1,{65: []}
Record,5,"{34: [], 44: [], 46: [], 60: [], 75: []}"
Regarding,1,{59: []}
Relations,1,{84: []}
Reserve,6,"{3: [], 27: [], 51: [], 55: [], 98: [], 99: []}"
Resources,1,{87: []}
Reuters,2,"{72: [], 91: []}"
Rev,1,{17: []}
Revs,19,"{8: [], 13: [], 16: [], 19: [], 21: [], 25: [], 30: [], 41: [], 52: [], 56: [], 57: [], 61: [], 64: [], 68: [], 74: [], 76: [], 81: [], 87: [], 88: []}"
Richmond,1,{42: []}
Ridge,1,{85: []}
Ridge.,1,{85: []}
River,1,{42: []}
Robert,4,"{27: [], 50: [], 51: [], 72: []}"
Robin,1,{59: []}
Rockefeller,1,{80: []}
Roderick,1,{72: []}
Rodney,1,{47: []}
Rogers,1,{5: []}
Rosario,1,{50: []}
Routine,1,{1: []}
Royal,1,{47: []}
Rumors,1,{50: []}
SAID,1,{11: []}
SALE,2,"{2: [], 12: []}"
SANDUSTRY,1,{81: []}
SAVINGS,2,"{34: [], 53: []}"
SAWMILL,1,{54: []}
SAY,1,{73: []}
SAYS,7,"{37: [], 45: [], 48: [], 51: [], 72: [], 96: [], 97: []}"
SCIENCES,1,{30: []}
SCOTT,1,{46: []}
SEC,1,{94: []}
SECOND,1,{43: []}
SECURITY,1,{38: []}
SEEN,1,{91: []}
SEES,8,"{5: [], 18: [], 36: [], 39: [], 69: [], 71: [], 79: [], 92: []}"
SELL,2,"{42: [], 54: []}"
SELLS,1,{29: []}
SET,2,"{59: [], 95: []}"
SETS,6,"{28: [], 32: [], 34: [], 46: [], 53: [], 77: []}"
SHARE,1,{6: []}
SHAREHOLDERS,1,{65: []}
SHARP,1,{24: []}
SHIELD,1,{41: []}
SHIPMENTS,1,{63: []}
SHOE,1,{13: []}
SIGNIFICANTLY,1,{5: []}
SINCE,1,{79: []}
SLIGHTLY,2,"{3: [], 22: []}"
SOFTWARE,1,{63: []}
SOVIETS,1,{73: []}
SPECIAL,1,{32: []}
SPENDING,1,{26: []}
SPLIT,2,"{6: [], 28: []}"
STANDARD,2,"{37: [], 47: []}"
STATES,1,{11: []}
STG,1,{49: []}
STOCK,1,{28: []}
STORES,2,"{19: [], 28: []}"
STRATA,1,{93: []}
SUBURBAN,1,{55: []}
SUGAR,2,"{10: [], 73: []}"
SWITCHES,1,{82: []}
SYSTEM,1,{75: []}
SYSTEMS,2,"{2: [], 52: []}"
Safeco,1,{33: []}
Sales,3,"{15: [], 22: [], 66: []}"
San,1,{33: []}
Sanford,1,{50: []}
Saudi,1,{47: []}
Savings,2,"{53: [], 58: []}"
Sciences,1,{42: []}
Securities,2,"{43: [], 94: []}"
Security,1,{38: []}
Sedio,1,{2: []}
Senate,1,{51: []}
Sept,1,{1: []}
September,1,{59: []}
Services,2,"{7: [], 86: []}"
Share,1,{64: []}
She,1,{7: []}
Shearson,2,"{10: [], 50: []}"
Shelard,1,{14: []}
Shell,1,{47: []}
Shield,1,{87: []}
Shipping,1,{24: []}
Showers,1,{1: []}
Shr,19,"{8: [], 13: [], 15: [], 16: [], 17: [], 19: [], 21: [], 25: [], 30: [], 41: [], 52: [], 56: [], 57: [], 61: [], 66: [], 74: [], 81: [], 87: [], 88: []}"
Simon,1,{47: []}
Six.,1,{53: []}
Slope.,1,{50: []}
Smith,1,{1: []}
Some,1,{72: []}
Sources,1,{91: []}
South,1,{24: []}
Soviet,1,{73: []}
SpA,1,{91: []}
Standard,3,"{47: [], 50: [], 72: []}"
Standards,1,{47: []}
State,1,{70: []}
States,2,"{69: [], 72: []}"
States.,2,"{27: [], 50: []}"
Statistics,1,{9: []}
Stock,1,{43: []}
Stores,1,{31: []}
Strata,1,{93: []}
Street,1,{50: []}
Strike,1,{71: []}
Suburban,1,{55: []}
Such,1,{27: []}
Sugar,2,"{10: [], 91: []}"
Super,1,{20: []}
Suppliers,1,{72: []}
Switzerland,1,{2: []}
Syndicats,1,{84: []}
System3X,1,{92: []}
Systems,2,"{2: [], 86: []}"
T,1,{70: []}
TALKS,2,"{38: [], 72: []}"
TARGETS,1,{59: []}
TAX,1,{11: []}
TELEPHONE,1,{6: []}
TERMINAL,1,{2: []}
THATCHER,1,{7: []}
THREE,1,{13: []}
TO,11,"{11: [], 14: [], 20: [], 27: [], 37: [], 42: [], 47: [], 54: [], 58: [], 70: [], 82: []}"
TOWARDS,1,{83: []}
TOWN,1,{13: []}
TRADERS,1,{73: []}
TRADING,1,{3: []}
TRANSFORM,1,{94: []}
TRANSWORLD,1,{77: []}
TRUST,1,{77: []}
TWO,1,{88: []}
Tachonics,1,{95: []}
Taiwan,1,{24: []}
Telemarketing,1,{92: []}
Telephone,1,{6: []}
Terminal,1,{2: []}
Terminals,1,{2: []}
Terms,5,"{29: [], 33: [], 54: [], 86: [], 92: []}"
Tex.,1,{2: []}
Texaco,1,{50: []}
Texas,3,"{20: [], 50: [], 72: []}"
Texas.,1,{72: []}
Thai,1,{73: []}
Thatcher,1,{7: []}
The,41,"{1: [], 2: [], 4: [], 5: [], 9: [], 10: [], 20: [], 24: [], 26: [], 29: [], 31: [], 32: [], 35: [], 39: [], 40: [], 42: [], 43: [], 47: [], 49: [], 50: [], 51: [], 54: [], 59: [], 62: [], 63: [], 69: [], 71: [], 73: [], 77: [], 78: [], 79: [], 80: [], 82: [], 83: [], 84: [], 89: [], 91: [], 93: [], 94: [], 99: [], 100: []}"
There,3,"{1: [], 83: [], 84: []}"
These,1,{89: []}
They,4,"{11: [], 50: [], 73: [], 89: []}"
This,2,"{49: [], 89: []}"
Title,1,{33: []}
Tobaccos,1,{71: []}
Today,1,{62: []}
Total,3,"{1: [], 3: [], 82: []}"
Trade,1,{1: []}
Traders,1,{73: []}
Transform,1,{94: []}
Transworld,1,{77: []}
Treasurer,1,{47: []}
Treasury,2,"{26: [], 51: []}"
Trucks,1,{22: []}
Trust,1,{77: []}
Trust.,1,{77: []}
Tuesday,1,{91: []}
Turben,1,{50: []}
U.K.,4,"{7: [], 49: [], 50: [], 59: []}"
U.K.based,1,{71: []}
U.K.s,1,{7: []}
U.S.,11,"{1: [], 26: [], 35: [], 41: [], 47: [], 50: [], 51: [], 72: [], 79: [], 82: [], 97: []}"
UAL,1,{77: []}
UNEMPLOYMENT,1,{89: []}
UNIT,7,"{12: [], 20: [], 29: [], 33: [], 42: [], 86: [], 91: []}"
UNITS,1,{18: []}
UNIVERSAL,1,{56: []}
UP,2,"{5: [], 89: []}"
UPGRADE,1,{20: []}
UPS,3,"{4: [], 28: [], 80: []}"
URGES,1,{27: []}
USERS,1,{38: []}
USX,2,"{50: [], 72: []}"
Under,3,"{65: [], 93: [], 95: []}"
Underlying,1,{59: []}
Union,1,{73: []}
United,4,"{27: [], 50: [], 69: [], 72: []}"
Unleaded,1,{20: []}
Unocal,1,{50: []}
Uruguay,1,{1: []}
Users,1,{38: []}
VALUES,1,{50: []}
VIACOM,1,{4: []}
VOLVO,1,{22: []}
VOTES,1,{78: []}
Va.,1,{42: []}
Valley,1,{55: []}
Viacom,1,{4: []}
Viacoms,1,{4: []}
Virginia,1,{88: []}
Volvo,1,{22: []}
Volvos,1,{22: []}
WEEK,4,"{48: [], 96: [], 97: [], 99: []}"
WHEAT,1,{82: []}
WILL,1,{84: []}
WISCONSIN,1,{14: []}
WITH,2,"{7: [], 72: []}"
WORKS,1,{83: []}
WORLD,1,{24: []}
Wall,1,{50: []}
Was,1,{7: []}
Washington,1,{47: []}
We,3,"{7: [], 47: [], 72: []}"
Wednesday,1,{99: []}
Wednesday.,1,{99: []}
Weinblatt,1,{62: []}
West,2,"{50: [], 51: []}"
Wireless,1,{7: []}
Wisconsin,1,{14: []}
With,1,{1: []}
Witter,1,{50: []}
Woodco.,1,{2: []}
Woodhouse,1,{10: []}
World,1,{24: []}
YEAR,9,"{8: [], 13: [], 30: [], 41: [], 57: [], 66: [], 68: [], 74: [], 87: []}"
YORK,1,{98: []}
Yates,1,{72: []}
Year,9,"{8: [], 16: [], 17: [], 19: [], 25: [], 52: [], 56: [], 64: [], 76: []}"
Yearonyear,1,{3: []}
Yesterday,1,{73: []}
York,6,"{1: [], 10: [], 27: [], 43: [], 98: [], 99: []}"
Zealands,1,{3: []}
Zuccherifici,1,{91: []}
a,57,"{1: [], 2: [], 3: [], 4: [], 5: [], 7: [], 10: [], 11: [], 12: [], 13: [], 14: [], 20: [], 22: [], 23: [], 24: [], 25: [], 26: [], 27: [], 29: [], 31: [], 32: [], 38: [], 39: [], 40: [], 42: [], 43: [], 47: [], 49: [], 50: [], 51: [], 52: [], 58: [], 59: [], 62: [], 63: [], 65: [], 66: [], 69: [], 70: [], 71: [], 72: [], 73: [], 77: [], 78: [], 79: [], 80: [], 83: [], 84: [], 85: [], 86: [], 89: [], 91: [], 92: [], 93: [], 94: [], 99: [], 100: []}"
able,2,"{7: [], 50: []}"
about,8,"{14: [], 24: [], 42: [], 47: [], 50: [], 72: [], 86: [], 93: []}"
above,1,{47: []}
abroad,1,{84: []}
abuse,1,{27: []}
academic,1,{51: []}
acceptances,1,{98: []}
access,2,"{7: [], 27: []}"
accord,2,"{51: [], 59: []}"
accord.,1,{59: []}
according,2,"{69: [], 73: []}"
accords,1,{59: []}
accounting,1,{16: []}
accounts,1,{87: []}
accumulating,1,{72: []}
acquire,4,"{2: [], 14: [], 55: [], 86: []}"
acquired,5,"{23: [], 33: [], 85: [], 87: [], 91: []}"
acquiring,1,{50: []}
acquisition,6,"{14: [], 33: [], 50: [], 85: [], 86: [], 100: []}"
acquisition.,1,{47: []}
acres,1,{54: []}
across,1,{27: []}
act,2,"{62: [], 84: []}"
acting,1,{59: []}
action,4,"{7: [], 10: [], 26: [], 84: []}"
actions,1,{27: []}
actually,1,{59: []}
added,1,{11: []}
added.,5,"{24: [], 47: [], 59: [], 72: [], 94: []}"
adding,1,{84: []}
addition,1,{49: []}
additional,4,"{2: [], 38: [], 62: [], 72: []}"
adjusted,2,"{3: [], 64: []}"
adjustments,3,"{16: [], 51: [], 84: []}"
advance,1,{62: []}
advances,1,{84: []}
adversely,1,{92: []}
advocated,1,{27: []}
affect,1,{92: []}
affirmation,1,{50: []}
after,5,"{1: [], 26: [], 51: [], 59: [], 72: []}"
afternoon,1,{49: []}
aftertax,2,"{39: [], 43: []}"
again,3,"{4: [], 27: [], 84: []}"
again...,1,{51: []}
against,8,"{1: [], 7: [], 8: [], 11: [], 22: [], 42: [], 84: [], 89: []}"
agencies,1,{70: []}
agency,1,{9: []}
ago,3,"{3: [], 50: [], 52: []}"
ago.,1,{52: []}
agree,1,{84: []}
agreed,6,"{38: [], 51: [], 59: [], 62: [], 86: [], 91: []}"
agreement,7,"{5: [], 26: [], 59: [], 69: [], 92: [], 93: [], 95: []}"
agreement.,1,{62: []}
agreements.,1,{42: []}
agricultural,2,"{11: [], 84: []}"
ahead,2,"{50: [], 84: []}"
ahead.,1,{72: []}
aid,1,{84: []}
aiming,1,{43: []}
all,5,"{1: [], 27: [], 50: [], 62: [], 77: []}"
alleviating,1,{1: []}
allies.,1,{72: []}
allocations,1,{22: []}
allow,2,"{20: [], 69: []}"
allowed,1,{27: []}
almost,3,"{1: [], 24: [], 73: []}"
along,1,{27: []}
already,5,"{4: [], 32: [], 47: [], 50: [], 84: []}"
also,19,"{1: [], 2: [], 10: [], 27: [], 31: [], 32: [], 38: [], 47: [], 49: [], 50: [], 51: [], 62: [], 69: [], 71: [], 72: [], 76: [], 84: [], 89: [], 92: []}"
although,1,{1: []}
amend,1,{94: []}
amendment,1,{79: []}
among,2,"{59: [], 93: []}"
amount,6,"{4: [], 42: [], 47: [], 70: [], 82: [], 83: []}"
an,26,"{1: [], 2: [], 5: [], 26: [], 27: [], 31: [], 39: [], 42: [], 43: [], 47: [], 50: [], 51: [], 53: [], 55: [], 58: [], 59: [], 62: [], 69: [], 70: [], 72: [], 76: [], 78: [], 79: [], 89: [], 92: [], 95: []}"
analyst,2,"{47: [], 50: []}"
analysts,1,{50: []}
analysts.,1,{51: []}
and,59,"{1: [], 2: [], 3: [], 4: [], 7: [], 9: [], 10: [], 11: [], 12: [], 13: [], 22: [], 23: [], 24: [], 25: [], 26: [], 27: [], 29: [], 32: [], 33: [], 35: [], 38: [], 39: [], 40: [], 41: [], 42: [], 43: [], 47: [], 49: [], 50: [], 51: [], 52: [], 54: [], 56: [], 59: [], 61: [], 62: [], 63: [], 64: [], 69: [], 70: [], 71: [], 72: [], 73: [], 76: [], 77: [], 79: [], 82: [], 83: [], 84: [], 85: [], 86: [], 89: [], 91: [], 92: [], 93: [], 94: [], 95: [], 98: [], 100: []}"
announced,7,"{6: [], 12: [], 23: [], 50: [], 65: [], 84: [], 91: []}"
annual,4,"{6: [], 11: [], 24: [], 84: []}"
another,1,{43: []}
anticipates,1,{63: []}
any,5,"{2: [], 27: [], 47: [], 69: [], 72: []}"
apart,1,{69: []}
apartment,1,{58: []}
apparently,1,{72: []}
appeals,1,{10: []}
applause,1,{84: []}
appointed,1,{84: []}
approach,1,{59: []}
appropriate,2,"{51: [], 59: []}"
appropriately,1,{50: []}
approval,4,"{42: [], 55: [], 70: [], 93: []}"
approve,1,{31: []}
approved,6,"{6: [], 31: [], 39: [], 65: [], 70: [], 79: []}"
are,14,"{1: [], 2: [], 11: [], 24: [], 27: [], 39: [], 40: [], 47: [], 50: [], 59: [], 62: [], 69: [], 84: [], 98: []}"
area.,1,{14: []}
areas,3,"{1: [], 27: [], 84: []}"
areas.,1,{1: []}
arisen.,1,{26: []}
armslength,1,{27: []}
around,5,"{1: [], 47: [], 50: [], 59: [], 77: []}"
arranging,1,{47: []}
arrays,1,{95: []}
arrested,1,{27: []}
arrivals,1,{1: []}
arroba,1,{1: []}
arsenide,1,{95: []}
as,15,"{1: [], 4: [], 7: [], 10: [], 27: [], 32: [], 43: [], 47: [], 58: [], 59: [], 62: [], 66: [], 84: [], 89: [], 94: []}"
ask,1,{31: []}
asset,1,{50: []}
assets,5,"{12: [], 14: [], 47: [], 72: [], 100: []}"
assets.,3,"{62: [], 70: [], 72: []}"
assistance,1,{49: []}
assistant,1,{51: []}
associated,2,"{24: [], 27: []}"
assumption,1,{100: []}
assurance,1,{62: []}
assured,1,{27: []}
at,19,"{1: [], 2: [], 6: [], 9: [], 14: [], 20: [], 22: [], 27: [], 35: [], 47: [], 49: [], 50: [], 59: [], 69: [], 73: [], 83: [], 89: [], 93: [], 100: []}"
attention,1,{50: []}
attractive,1,{50: []}
auditors,1,{94: []}
authorized,1,{31: []}
available,5,"{1: [], 7: [], 30: [], 62: [], 84: []}"
average,1,{89: []}
avoid,2,"{27: [], 84: []}"
awarding,1,{84: []}
back,2,"{47: [], 84: []}"
bad,1,{84: []}
bags,2,"{1: [], 69: []}"
balance,2,"{77: [], 89: []}"
balance.,1,{89: []}
bales,1,{35: []}
band,1,{49: []}
bank,5,"{3: [], 27: [], 49: [], 51: [], 99: []}"
bank.,1,{14: []}
banking,2,"{27: [], 51: []}"
banks,6,"{14: [], 27: [], 59: [], 85: [], 98: [], 99: []}"
barrel,3,"{47: [], 50: [], 59: []}"
barrel.,1,{50: []}
barrels,1,{20: []}
barrelsday,1,{20: []}
barrelsyear,1,{20: []}
barriers,1,{7: []}
base,1,{59: []}
base.,1,{85: []}
based,2,"{86: [], 93: []}"
basis,4,"{20: [], 27: [], 31: [], 89: []}"
battery,1,{12: []}
be,25,"{1: [], 2: [], 4: [], 5: [], 7: [], 20: [], 27: [], 31: [], 32: [], 42: [], 43: [], 47: [], 50: [], 54: [], 59: [], 62: [], 65: [], 69: [], 72: [], 77: [], 79: [], 83: [], 84: [], 95: [], 98: []}"
bean,1,{1: []}
bearish,1,{50: []}
beat,1,{50: []}
became,1,{71: []}
because,3,"{50: [], 59: [], 69: []}"
become,5,"{7: [], 27: [], 50: [], 84: [], 93: []}"
been,8,"{1: [], 22: [], 47: [], 50: [], 51: [], 59: [], 69: [], 84: []}"
before,6,"{16: [], 22: [], 59: [], 83: [], 84: [], 93: []}"
before.,2,"{62: [], 66: []}"
began,1,{82: []}
beginning,1,{50: []}
begins,1,{11: []}
being,3,"{7: [], 59: [], 84: []}"
believe,4,"{27: [], 50: [], 51: [], 69: []}"
believes,1,{71: []}
below,1,{47: []}
benchmark,1,{50: []}
best,1,{22: []}
between,4,"{59: [], 69: [], 73: [], 84: []}"
bid,3,"{7: [], 47: [], 50: []}"
bid.,3,"{7: [], 47: [], 50: []}"
bidding,1,{47: []}
bilateral,1,{83: []}
billion,13,"{3: [], 9: [], 14: [], 22: [], 24: [], 47: [], 50: [], 71: [], 72: [], 84: [], 88: [], 89: [], 98: []}"
billion.,2,"{22: [], 98: []}"
bills,1,{49: []}
board,8,"{4: [], 10: [], 39: [], 47: [], 53: [], 69: [], 70: [], 78: []}"
boards,2,"{42: [], 93: []}"
booked,1,{1: []}
books,1,{98: []}
boost,1,{50: []}
border,1,{84: []}
borrow,1,{99: []}
both,5,"{11: [], 22: [], 40: [], 42: [], 84: []}"
bought,3,"{49: [], 72: [], 73: []}"
bourse,1,{91: []}
brand,1,{71: []}
brightest,1,{50: []}
brings,1,{49: []}
broadly,1,{59: []}
brought,1,{59: []}
budget,1,{59: []}
buffer,1,{83: []}
bulk,1,{24: []}
burden,1,{84: []}
bureau,1,{35: []}
business,4,"{12: [], 43: [], 91: [], 98: []}"
businesses.,2,"{12: [], 72: []}"
but,13,"{22: [], 47: [], 50: [], 51: [], 59: [], 62: [], 69: [], 77: [], 79: [], 83: [], 84: [], 89: [], 92: []}"
butter,1,{1: []}
buy,4,"{2: [], 50: [], 83: [], 93: []}"
buyer,1,{72: []}
buying,1,{72: []}
by,25,"{1: [], 4: [], 6: [], 7: [], 11: [], 16: [], 24: [], 26: [], 27: [], 42: [], 47: [], 50: [], 59: [], 62: [], 65: [], 69: [], 70: [], 72: [], 83: [], 84: [], 85: [], 89: [], 91: [], 92: [], 93: []}"
calculated,1,{89: []}
call,1,{69: []}
called,1,{71: []}
came,1,{94: []}
can,3,"{50: [], 59: [], 72: []}"
candidate,1,{83: []}
capabilities,1,{95: []}
capital,3,"{27: [], 56: [], 62: []}"
capital.,1,{27: []}
careful,1,{47: []}
carefully,1,{47: []}
cargoes,1,{73: []}
carnival,1,{1: []}
carried,1,{51: []}
carry,1,{51: []}
case.,1,{7: []}
cases,1,{7: []}
cash,9,"{4: [], 14: [], 42: [], 47: [], 62: [], 77: [], 78: [], 85: [], 100: []}"
catalysts,1,{20: []}
catalytic,1,{20: []}
caused,1,{22: []}
cautious,1,{59: []}
ceases,1,{77: []}
central,3,"{49: [], 51: [], 59: []}"
cents,1,{73: []}
